repo	path	bytes	sha256	function_markers	doc_markers
DAX-FULL	target/debug/.fingerprint/hexf-parse-16aa6e4f4ab9a836/lib-hexf_parse.json	352	44d03ea5e17fb5181af00265b8ae4b06858d737926d28a88b8a077eb098bf8e8	0	0
DAX-FULL	target/debug/.fingerprint/num-traits-99ea1b702c912df5/lib-num_traits.json	482	58c455371a6fcf4c00f97c9730b0a88747ff4897f29e8abbd5da557d31702764	0	0
DAX-FULL	target/debug/.fingerprint/num-traits-f13957d14306ce91/run-build-script-build-script-build.json	331	f0478440fa065635e9dd669c51c9b7fb3aa359e6459f5cc2e640b6379b4ed6e5	0	0
DAX-FULL	target/debug/.fingerprint/num-traits-7153473680df70d8/build-script-build-script-build.json	490	df5b5a81a4b87209cf89f6d71d20740c8cd4c12d584343588924e858ea8dec35	0	0
DAX-FULL	target/debug/.fingerprint/autocfg-453c597380fd055f/lib-autocfg.json	347	f177cb7da5e95e487953456e21452de9cff3f714f680d440f830781dda047e56	0	0
DAX-FULL	target/debug/.fingerprint/rustc-hash-bf62d3782bc6d983/lib-rustc_hash.json	393	e19e420038d2184d3e82b14b76aecc5899b69db9a7f327ca9d9fa1b2a51c01cf	0	0
DAX-FULL	target/debug/.fingerprint/spirv-39b77bffeee7ad34/lib-spirv.json	443	c13b9e8261a6565679eaf74aa10e9ae7bc852b5347258b49eecfb4703fa1c373	0	0
DAX-FULL	target/debug/.fingerprint/thiserror-94063f92e731ef4b/lib-thiserror.json	487	86006f3cfa048e98f91c9f17d667fddbbced1bcf57dd6dffddabc16d03340c5f	0	0
DAX-FULL	target/debug/.fingerprint/thiserror-0c7f8ee606fee4fa/run-build-script-build-script-build.json	395	d806f4f2665c80da5ecf15d6e3fbbe338980c96855cdfed609f778494cfa8ed4	0	0
DAX-FULL	target/debug/.fingerprint/thiserror-31ea4e0f9f192859/build-script-build-script-build.json	370	6355c5a85e70e22b86b7e35dde7a177a292eb996f598c03a76daa5f9a1686a89	0	0
DAX-FULL	target/debug/.fingerprint/thiserror-impl-db7aefd7adae169a/lib-thiserror_impl.json	534	0c48bf4b458a455883c1c13e96b8f59a05240015c8673beb5003dcebbb9f4ed7	0	0
DAX-FULL	target/debug/.fingerprint/unicode-xid-d5848bd6c03d49a3/lib-unicode_xid.json	399	d6b30ff712630020e1c4dbf99fe08e73f4542119e701aa6eef55d0e15fc2f534	0	0
DAX-FULL	target/debug/.fingerprint/once_cell-bb51761d60b64051/lib-once_cell.json	530	ce9fd24b1b9a58a9123563e8b98cb2b4f70c39f98f1b3b8701c7c3ede0fda21d	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-core-6d017c9abf2f156e/run-build-script-build-script-build.json	257	fb77b615c3c1b001ad8c75e91661ad01d45680c794033f09a7c54e38a94eb75d	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-core-c380368f5f092f84/build-script-build-script-build.json	805	4c732c9e54ec7e30a0f445cf85c64e3435aa0fd8b37ead428052323f46ce3a93	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-hal-f0684bc4d7293550/lib-wgpu_hal.json	2422	c0722232cc7a2898792782c9311b38ae73a229cf19f081dfb32c760189f523ac	0	0
DAX-FULL	target/debug/.fingerprint/ash-01e46ac60a8e4c5b/lib-ash.json	583	28a275a53fe32c08037f0cb0e1e173ac59d40d63611910be59c98854d0ae494d	0	0
DAX-FULL	target/debug/.fingerprint/ash-f6d5ecd5d6559130/run-build-script-build-script-build.json	267	7f43dd2754a3bb11166a681a1cb8ac83038b509f3dd8060937d6d9acdd583355	0	0
DAX-FULL	target/debug/.fingerprint/ash-de54b47209dfd480/build-script-build-script-build.json	474	12684f1acd63611ba360e53ba5b3a2fbfebfe8badf42a107f767694ac69888b4	0	0
DAX-FULL	target/debug/.fingerprint/libloading-0aea90b1f559c741/lib-libloading.json	412	6899edc6571fbea1bd6b6dd363f1957a0f80ca59f171714ddebe69449a014e7e	0	0
DAX-FULL	target/debug/.fingerprint/glow-6766177180531416/lib-glow.json	404	83266a4892b9c7e07a1ef78e339bf56667b7eb193ccbb0830850f21e996b5f82	0	0
DAX-FULL	target/debug/.fingerprint/gpu-alloc-c968136ee2ee01eb/lib-gpu_alloc.json	541	0f014acac7f190389cb3dfd4e26038f36ec6f7fd155e52644a8156e2796aef98	0	0
DAX-FULL	target/debug/.fingerprint/gpu-alloc-types-1cb2c0272cb60f58/lib-gpu_alloc_types.json	423	62bd07008e2ba3048512019b0c6a7beea26db66ea0a8ebfe3d3b666e8c2357b2	0	0
DAX-FULL	target/debug/.fingerprint/gpu-descriptor-7499c60e9e446a80/lib-gpu_descriptor.json	616	558208861b1f6fe661cf2d3dd338e0c20a8e377f89b43667e31fd9f0dcd69fef	0	0
DAX-FULL	target/debug/.fingerprint/gpu-descriptor-types-7f98f665b6ae0d3b/lib-gpu_descriptor_types.json	431	28fd577afeef6a8f7d467e3d324b2977745a6ace17186491e214e401df6d85e6	0	0
DAX-FULL	target/debug/.fingerprint/hashbrown-3edd7b6c0446e06d/lib-hashbrown.json	632	98f0b6cf08faed0fcc91f7400866df7086d39a3bf4a43d0023d61cd2a2ea8d49	0	0
DAX-FULL	target/debug/.fingerprint/foldhash-aaef4ef874b4a991/lib-foldhash.json	371	7da45c8f7b530623c71ebfa21544c1f4e7c9e7a6cd7defc3ae2f9c5829c3ead5	0	0
DAX-FULL	target/debug/.fingerprint/khronos-egl-009d099a56fca09f/lib-khronos_egl.json	773	97b2ca2968941987ea721c88156a68056de69426275d20f93c9ee293166ed89d	0	0
DAX-FULL	target/debug/.fingerprint/khronos-egl-bc862e652f52e071/run-build-script-build-script-build.json	257	b0d4b0f1092d70bb0348eee84329df45826b4a04c61d1b20e0c5b8e4669c09fa	0	0
DAX-FULL	target/debug/.fingerprint/khronos-egl-91cfeefd8bf9d279/build-script-build-script-build.json	607	cb3f8bf0757798149ac0e70213fa807fa92210f1ec5135f1c32f02803984f84f	0	0
DAX-FULL	target/debug/.fingerprint/libloading-233481e53663a348/lib-libloading.json	409	22f3e6d7efdd3532b8602720be8ab90bfc13454234239dff940264ce50889dc8	0	0
DAX-FULL	target/debug/.fingerprint/renderdoc-sys-3b83de97a13dd5f6/lib-renderdoc_sys.json	358	1ea6c0faf713b55d3a8f0d9e8e3cdfa00f63ce734cfc064b2e2082133f6a6b01	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-hal-7f89efcc58e27c55/run-build-script-build-script-build.json	259	526e9d4fec780b42d2e66ff861447ece3218acc59ae19ee6b20827bc127f241b	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-hal-58d0405ccbcfd417/build-script-build-script-build.json	1238	66583a4ea8f46a72bad2f2c8746902a4bb12eec1b14d2aaea6f463eab17aac83	0	0
DAX-FULL	target/debug/.fingerprint/wgpu-types-406f3900d63b0c83/lib-wgpu_types.json	480	5cd1a71a1a406ae8bd67d5206f34f018a0be67c53af94010f42c1dbe55ce136d	0	0
DAX-FULL	target/debug/.fingerprint/decks-6cfb4b0395da6509/test-bin-decks.json	522	f81f55cb8ae8f63de7308ee58b5c20e2581ab7c1e6fd0b3a85f374f0b6998840	0	0
DAX-FULL	target/debug/.fingerprint/diodus-48c5f3f79f1cf86f/lib-diodus.json	519	7f0c2deeeb739a1292e3126ad9f9aef98f8cb154575344c8ed7973192a875257	0	0
DAX-FULL	target/debug/.fingerprint/diodus-73afe20556f5e665/test-lib-diodus.json	523	039f57e74335a32933abc3c2c689e89745502e09a6b241b84da2063212ef1287	0	0
DAX-FULL	target/debug/.fingerprint/reap3d-896f376c9a5826e7/lib-reap3d.json	520	767f2c1fc1c5ab5b38791dd6d4dc28984a640a6f58c83bf61ee82221195d76df	0	0
DAX-FULL	target/debug/.fingerprint/reap3d-0d89248b1248fa98/test-lib-reap3d.json	524	b1f4edbd9e2b9337449f8e79a031ebc1476166684b80cdf6a198a119eb7804c0	0	0
DAX-FULL	target/release/.fingerprint/accesskit-15160a7e78c403be/lib-accesskit.json	435	33f509f88edcc245cc58de69f45c847f55eefc4f3d2d8ddfa76eff31dc0be816	0	0
DAX-FULL	target/release/.fingerprint/accesskit-e863faa73e36a205/lib-accesskit.json	397	7dc34efb0c23effd4bf2b26a174d5f9d65710f9c7efe377b8d28021dacb82bdc	0	0
DAX-FULL	target/release/.fingerprint/accesskit_winit-7e76d3e53d1c42b9/lib-accesskit_winit.json	667	66e61a849a071b95864c916db47d1bd9bf2c74b2f7832b1a976e735474fab1d1	0	0
DAX-FULL	target/release/.fingerprint/accesskit_winit-9dcea25c3f758a8f/lib-accesskit_winit.json	630	862fa3c226c1da83c1963ef8741dd16578339cd909893018539ff3d4d4864777	0	0
DAX-FULL	target/release/.fingerprint/adler2-391a18abd9289c91/lib-adler2.json	399	5acabb07f45153b9fe115880d7bd0983217dd7350aaeba88b4c9468b86db30d3	0	0
DAX-FULL	target/release/.fingerprint/adler2-946ccd76ec63383c/lib-adler2.json	437	629dbbd69f8807e628f2b11c39f23e4c2895f5106aa544f62dc944bba024b707	0	0
DAX-FULL	target/release/.fingerprint/ahash-5079849ded12d91a/build-script-build-script-build.json	707	0c07914603c049809582c43abf8ca92f69b770b93d6831cde7b8e1cbf4beb210	0	0
DAX-FULL	target/release/.fingerprint/ahash-626382f514c6b1a5/run-build-script-build-script-build.json	364	2e2929048429ad9ae017222b2cab3f51d62015c0ed5faeca0f42b2e96726c84e	0	0
DAX-FULL	target/release/.fingerprint/ahash-854b1eaafa5249a9/run-build-script-build-script-build.json	327	53c164bb3aabfc3e0c2fd473618b5c75d3b5136bc61d9727eb5b9561a84633bc	0	0
DAX-FULL	target/release/.fingerprint/ahash-a32b8062756061a9/build-script-build-script-build.json	669	836ee4c89040a3fa63d9c3d72942829644d63708e170d5d447c47216b95413c7	0	0
DAX-FULL	target/release/.fingerprint/ahash-ac0b6f94127510c2/lib-ahash.json	952	f3a2654e3aec16ccc07eae99bdb17bb59741c8c0c2af49e0ddf37690a5a10e3d	0	0
DAX-FULL	target/release/.fingerprint/ahash-f2d64156aa85c46c/lib-ahash.json	986	44359214d37fb8f8fb2d5873b1b7e3f5bc106bf0e83ab5c8b6973770e55cdfb5	0	0
DAX-FULL	target/release/.fingerprint/aho-corasick-34be57727e935846/lib-aho_corasick.json	530	35e24277311ce4e6734fcee3bbddadae0f6d5399f38c2b53f1862de16bbf77bb	0	0
DAX-FULL	target/release/.fingerprint/aho-corasick-95d7122228f45694/lib-aho_corasick.json	492	04fd8172aaa2c7b0b3f6141a2802105106b0729794830a008573047c9069bc90	0	0
DAX-FULL	target/release/.fingerprint/allocator-api2-8ff88433112deee3/lib-allocator_api2.json	482	78dfd6a5fd54b748bb27715c653ec80038c1b5f7cb17a828617769a1ff2be69e	0	0
DAX-FULL	target/release/.fingerprint/allocator-api2-a7828fc53b5d48c3/lib-allocator_api2.json	444	21b962e5cb0217409dd5cee4f8245d266dbc30fc2005362ea16bbd8bd1b4a2a1	0	0
DAX-FULL	target/release/.fingerprint/android-activity-0c17abfaede6d0bc/lib-android_activity.json	1225	b896f0ed386468722b3c3fa57c7fc361db89a5cdd003b36eca5404282977487b	0	0
DAX-FULL	target/release/.fingerprint/android-activity-43c84cf452317f95/run-build-script-build-script-build.json	5386	256165608d0cc41851c1918fab2d0e445c9a932d61f0683dfccc8c4b5cd4227e	0	0
DAX-FULL	target/release/.fingerprint/android-activity-4a156f75a509f3f4/build-script-build-script-build.json	514	960422213cb048679dc52f5e083fca0c146aa247060c2385d124cee9c3cfffa6	0	0
DAX-FULL	target/release/.fingerprint/android-activity-6e8370e57e8703c8/lib-android_activity.json	1261	8ef7763ebc2f2720cf8a095d8557f36b02a1b8202b8c0dbff9fd9fbe74136ec9	0	0
